,Restaurant,User_Name,Location,Time,Stars,Review,Zip_Code
12,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Brenda H.,"Rancho Cucamonga, CA",7/6/2021,1,"Be careful and order your chicken well done! Twice now I have ordered Kung Pao, my favorite dish, when it came to me it looked like normal but only cooked on the outside, but it was completely raw on the inside, I don't mean undercooked, I mean RAW when I cut it open. :( I'm sad cause I can't go back and have my favorite thing, the manager was nice and said she'd tell the chef and took the dish off, but if you've ever had to spit out raw chicken or chew until you figure out something isn't right, it's a game changer not to mention the danger to ones health. Should have comped the whole bill after knowing I ate 2 pieces of raw meat. Just order your meat well done and you should be ok.",91739
13,"7870 Monticello Ave Rancho Cucamonga, CA 91739",LaReina C.,"Rancho Cucamonga, CA",7/5/2021,3,There was an ex employee sitting at the bar with us bad mouthing the restaurant. It was kind of entertaining at first but she kept calling over people she used to work with to gossip. Made me not want to eat there anymore. Oh.. And the abundance of gnats or fruit flies or whatever they were flying all over the bar. It should have been closed there were so many. I was so annoyed that I couldn't even eat. Drank my pretty drink and left.,91739
14,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Jackie W.,"Apple Valley, CA",3/10/2021,4,"Absolutely amazing From the service, to the prices, bathrooms were clean. Only comment is the crab Rangoons are very dry inside when I prefer more of a cream cheese and crab. but they do come with a ginger-type sauce to dip them in.",91739
15,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Mary Ann B.,"Glendora, CA",6/6/2021,5,"Excellent night out celebration our 18th wedding anniversary with PFChangs enjoyed a light dinner , great drinks, and spectacular dessert.  Thanks to Nick and colleague who helped us celebrate",91739
16,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Jerry C.,"Upland, CA",7/11/2021,2,"PF Chang's use to be one of my FAVORITE places.  I have been craving it for awhile and finally had a chance to go.  I placed an order for my favorites, the Orange Chicken and fried rice.  And when it came out, I was shocked to see they came out with a ""new recipe"" and I have to admit it is horrible and the fried rice lacked any flavor.  It is sad to see this once a favorite place change for the worse, and yet they found it fit, to raise their prices and give you less food.  If you are looking for Chinese food, check out Panda Inn located not far in Ontario.",91739
17,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Patsy K.,"Glendora, CA",7/2/2021,5,"Our family of 13 people came here to celebrate our recent reconnection! Let me first say it's not easy accommodating all those orders and special requests without a great waiter. Especially in a filled restaurant. Edward and his team have earned these kudos for playing such a role to make it all happen!  Anyone who can get 13 orders right with all the drinks and great appetizers making there way first, allowing us plenty of time to enjoy them- before wonderful entrees- should be applauded!  Clap clap clap. Great job people, PF Changs service did not disappoint! Thank you Edward and the team!!!",91739
18,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Cathy J.,"Rancho Cucamonga, CA",9/22/2020,5,"Went to dinner tonight with my 2 little girls and husband, PF Chang's is one of our faves. We were so lucky to get Andrew as our server, he was AMAZING! Our food was good, blah blah blah, but Andrew was seriously the best. So kind and on top of everything. Thank you Andrew, we haven't been out to a real nice dinner in months and you made tonight great! And you can't go wrong with the Mongolian beef and Kung pao shrimp, YUM!",91739
19,"7870 Monticello Ave Rancho Cucamonga, CA 91739",DareOfficer ..,"Ontario, CA",6/20/2021,4,"Enjoyed my father's day at RC PF Changs. We ordered a variety of plates, the service was great, I don't think there up to speed yet, but there getting there, there food is good, but before covid, it was amazing, duck plate a little dry, beef and broccoli ok, calamari was great, lo mean noodles were good but added chicken dry. I'll still go back, I still love this place.",91739
20,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Melad G.,"La Verne, CA",5/23/2021,1,"Worst service ever. First we went in because all other descent restaurants had at least 1hr wait and we were surprised to be given a table (8 people) at this restaurant immediately with no wait..Waiter brought all drinks except mine and he finally got it after more than five minutes.We finished our appetizers then they started serving main course without removing all the empty plates of the appetizers. Waiter then came laughing and saying they would normally put the main course dishes in the middle for all to sharr. I told him we would like them in the middle but they first should remove those empty dishes. He looked at me and said ""My man i am working on it""!!!!We were all served our main course except for my son.. we waited for another 5 minutes with no delivery... waiter was going to other tables. I then asked the waiter if there was a problem with my son's dish? He said without even appologizing that he simply needs to grab it from the kitchen .. and then asked me if i need to talk to his manager!!!! I was really surprised at his impolitness and attitude and told him yes get me your manager..After another 5 min another wierd guy and even more impolite came in with my son's plate and left it on the table without saying a word.. i asked if he was the manager and he said yes.. i told him is this a way of providing service and he immediately turned rude and told me not to yell at him (which at this stage i never did and was still trying to get only a proper appology and acknowledgment that they will take care of their service)... at this point, i realized why this place was empty and why we got a table immediately.. looked at this guy and told him to stop talking and to get me the restaurant manager.. and obviously this was another waste of time. A lady came and was useless and not even understanding the basis of customer management !!!! No wonder all her staff are having this attitude...We then decided to leave in the middle of our main course and the manager came and said that we are not welcomed and we will not be asked to pay the bill !!!!!!!!!!!!!!Pathetic staff and managers .. food was normal but with this service ... hahahaha .. they should all get fired. Owner, if you care about your franchise, monitor your staff and choose them carefully.",91739
21,"7870 Monticello Ave Rancho Cucamonga, CA 91739",joelle m.,"Colton, CA",3/19/2021,3,"I never get to eat P.F. Chang's because I am rarely in the area. Today I decided to treat myself and get my favorite- Dynamite Shrimp. I ordered curbside pickup because of Covid-19. I have to say, though the flavors were there, I was let down with how much they gave me. Unless it suddenly started coming with 5 shrimp? It also wasn't crunchy like it usually is. :( feeling like maybe I should have gotten something else. I understand the pandemic has made things harder but I still feel strongly that that should not affect the quality of how the food is cooked and prepared. I'll definitely go again because I have more things I want to try but today, I am disappointed.",91739
23,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Amber R.,"Apple Valley, CA",6/3/2021,5,"Christopher was our waiter, he provided excellent service, food was hot and delicious and he was very attentive to our needs. Excellent team work from the minute we walked into be seated, to receiving our food. Thank you for the great food and excellent service.",91739
24,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Make Pizza G.,"Upland, CA",7/29/2021,5,"Selena was AMAZING ! she was very very sweet, was insanely generous, & gave us many fortune cookies ""just in case."" I loved my experience & I will continue to come here !! especially if selena's my server !! Thank you Selena for the great experience !!!",91739
25,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Dennis T.,"North Las Vegas, NV",1/13/2020,4,"This was only the second time we had been here.  And when Diane and I left, we were both of the opinion that we would willingly come back.  It was pre-Christmas holiday time, and a vaunted P.F. Chang's Xian warrior statue in the main dining room was bedecked with a Santa's cap on his head.We began with delicious and mild pan-fried Handmade Shrimp Dumplings and a bowl of Wonton Soup filled with six nude but crunchy shrimp hiding within each assembled wonton.  Then it was specially prepared Miso-marinated Chilean Sea Bass for Diane, and Mongolian Beef with sweet Soy Sauce, Flank Steak, Garlic, Green Peppers, and Onion for me, since my favorite of Wok-Fired Filet & Potatoes has now been replaced on the dinner menu by a Korean Bulgogi Steak that features a New York Strip Steak covered with a Mongolian glaze.  The Mongolian Beef was very tasty, and not too tough.  It was accompanied by cooked spinach bathed in a Soy Ginger Sauce.  Everything was washed down nicely with Oolong Dragon Eye Tea and Citrus Tea.Service by Tayler was very fine, except during the dinner I received only one water refill when I needed two.  Booth seating was comfortable.  An excellent meal, and XXXX-1/2 stars overall!",91739
26,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Moody F.,"Palmdale, CA",4/15/2021,5,"Had an absolutely amazing anniversary here , staff were very kind and wait for food didn't take too long despite the amount of people in presence . . Overall it was a very pleasurable dining experience and I would highly recommend to anyone who's looking to celebrate something special ( with modesty ) or even those whom are grabbing just a quick bite to eat ! Will definitely be returning again for the Pan-Fried Pork Dumplings ~ Moody Foodie",91739
27,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Amanda J.,"Diamond Bar, CA",1/1/2020,4,"There was a 1 hour wait for a table when we arrived so we chose to sit in the bar. Turned out to be a good choice. You can order from their Happy Hour menu for 1 hour longer and you can order from the whole menu while sitting in the bar. Win! To start we had Sake and an Asian Pear Mojito. Great choices. The mojo to was the right combination of sweet and mint. We ordered vegetarian lettuce wraps, fried green beans and veggie sushi. All were very good. For entrees we had the Hokkien Street Noodles with no meat and subbed in tofu. And no oyster sauce. Delicious.  I had the Buddha's Feast with tofu and white rice. Also delicious. Since we had so many appetizers between 2 people we had food left to take home. All in all a pleasant dining experience. Our waitress/bartender was excellent. I think I'll dine in the bar every time!",91739
28,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Elise T.,"Rialto, CA",4/5/2021,5,"Went around 1pm, not crowded at all, did take a while to get our food but that okay. The outside seating was very comfortable in a shaded area. The tables were spread apart about 6 inches. Same tasty food as always! I enjoyed my food and so did my husband.",91739
29,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Barbara A.,"Fontana, CA",3/22/2021,5,Our favorites are Kung Pao chicken and Chang's spicy chicken. Good and simple starter is the edamame.,91739
30,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Kaynesha W.,"Las Vegas, NV",6/24/2021,5,Dani G. Was amazing ! She was kind patient and on top of making sure we were happy and satisfied! I will be back simply because of her !!!,91739
31,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Paul M.,"Ontario, CA",10/21/2020,5,"It's been awhile that I've had P.F. Chang's and wanted to come. I made a reservation for the both of us (Highly Recommended) for dinner. This P.F. Chang's is located at Victoria's Garden. In my personal opinion, parking could be an issue, depending on the time of day, so plan ahead. When we arrived, we were welcomed and had to wait for a table to be ready. When our table was ready, we were anxious and wanted to see the menu. For the menu, you can ask for a paper menu or if you have a QR Reader app, you can scan the barcode to see the menu. Our server arrived (Wesley) and he greeted us and was very hospitable; made the night very pleasant. We went ahead and ordered: Chang's Lettuce Wrap (Chicken), Mongolian Beef, Combination Fried Rice, Combination Lo Mein & Crispy Honey Chicken. We waited for our order for a bit and Wesley was always checking up on us. Our order arrived and we could smell that it was prepared fresh. All of our dishes that we placed, had plenty of flavor and we both were totally satisfied with our meal. My overall experience was excellent and the customer service we received from Wesley, was outstanding. He went above and beyond and checked up on us, asked if we wanted refills and chatted a bit with us. In my personal opinion, I would definitely recommend P.F. Chang's at the Rancho Cucamonga location. Next time we come, we would like to try their other items on their menu.",91739
32,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Nikki M.,"Chino, CA",5/8/2021,5,Eric was our outstanding waiter.  We had a very nice late lunch on the patio.  Eric was attentive and on point with our needs.,91739
34,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Dan R.,"Rancho Cucamonga, CA",5/15/2021,5,Now entering into the post-covid era it is so nice to sit down and dine inside!  PF Changs is one of our favorite places to eat and our experience yesterday just reaffirmed that preference. Making the experience even more personal was our server/bartender Eric. He is a master of class - going above and beyond to see to the needs of the patrons. We'll be back soon!,91739
35,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Hello K.,"Los Angeles, CA",3/30/2021,5,"We had the nicest set of servers today , we sat on the patio it was clean and relaxing and all the food was yummy, thank you for having our door seating  , we had a nice time !",91739
36,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Rosalia C.,"Riverside, CA",10/18/2020,5,"The food here is consistently very well prepared and delicious. I am just very grateful they offer gluten free options, due to my gluten intolerance. I believe the biggest reason why I continue to visit this location is because of the exceptional service. We had a large party reservation, and they went above and beyond by notifying us of an earlier table being available due to a cancellation. In addition, we had the pleasure of being served by Christian; P.F. Chang's, you have a phenomenal employee!",91739
37,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Heidi J.,"Azusa, CA",10/18/2020,4,"Today I wanted to write this review based on the customer service alone. Pfchangs is known for its fresh food and drink menu. But the other day, Judy and Christian L. Really made our experience special. At the Victoria Gardens location, they had three different patio locations. Judy took me all over to see which area might be to my liking, as my father is diabetic and really couldn't be in the Sun at all. I thought I found the right spot under a tree where it was shady, our server Christian came over to deliver the drinks and wouldn't you know it, there was a bee that would just not leave us alone. Poor Christian over here doing the most trying to protect us to make sure we didn't get stung. Unfortunately the little rascal wouldn't go away and we had to switch to a different location. I apologized that it seemed as though we were being a bother but both Christian and Judy we're so kind and friendly, assuring us that the bee would not get in the way of providing great customer care. The food is always really good here, we ordered the veggie spring rolls which I really enjoyed great crunch fresh veggies. My dad really liked the dynamite shrimp which had a spicy orange sauce on top of it. As far as entrees we ordered the orange chicken pepper steak and shrimp fried rice along with shrimp pad thai noodles. All of which were really good. The food never disappoints here but I must say I haven't had wonderful customer service like that in a very long time. Honestly, I thought Judy was the manager the way that she carried herself and just had the best personality. And our server, Christian L., he was amazing! Can't wait to come back!",91739
38,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Mark A.,"Lake Shore, MN",9/24/2020,5,"I ordered two broccoli dishes. Beef and Chicken. The chicken/broccoli was really good. Yet the beef/broccoli was even better. Both were seasoned exceptionally, I had requested spicy.I had not had P.F. Chang's in a while. This experience reassured my faith in chain restaurants.Well done guys!",91739
39,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Refugio C.,"Rancho Cucamonga, CA",9/20/2020,1,So disappointed in PF Chang.the food was disgusting.all of the food from the rice .soupAnd the three chicken entrees where all bland no flavor what so ever.it was cold didnt even taste fresh not that it matters since no flavor.I spent 72.00 dollars on tasteless cold something cause it didnt taste like Chinese food.I should have gone to Panda inn like I normally do.I was just tryin to support local businesses,91739
40,"7870 Monticello Ave Rancho Cucamonga, CA 91739",LeilaniEriche L.,"Los Angeles, CA",1/28/2021,4,"Christian was our server. She was fantastic. This was my family's first experience with this brand. It was a great one. The lettuce wraps were amazing. We also had the shrimp dumplings, Kung pap chicken with added shrimp and the beef and broccoli. We will eat this again. Now that we are full, we'll just be out back napping in the car.",91739
41,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Coumba T.,"Redlands, CA",5/30/2019,5,"Atmosphere: Very casual and not so brightly lit, in a good way. It was comfortable because they have a more secluded romantic section to the left of the entrance and to the right there is more of a family friendly dinning area. Service: The food was serviced quickly and still really hot. The waiter was very friendly & patient at explaining the menu items. Food: the food was absolutely delicious. The way the food is serviced is in a large bowl and everyone has an individual plate so they can serve themselves as much/ little as they want. We only got 2 things and it was more than enough for the 4 of us.",91739
42,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Carol R.,"Upland, CA",6/7/2021,1,The hostess was too busy to help me.   I had to wait to be seated when the restaurant was pretty much empty.  Once the hostess was ready he then had to answer the phone. No heaters available.  No propane.  Waited at the table to order a drink for 15 minutes. Once again. Not busy.  No sense of urgency to serve customers.  Late afternoon.   Not No rush on drinks either.,91739
43,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Bella E.,"Ontario, CA",9/11/2020,1,Absolutely no words for how disgusting the food was tonight. The same thing happened the last time we ordered and we thought it was because of covid. There is nothing more heartbreaking than spending money on food that is inedible. The kung poa was burnt! The rolls were falling apart  and tasted like soap. The won ton soup tasted like dough. Absolutely gross!!I cannot believe they have the audacity to actually serve this food!! I will never ever give my money to this restaurant again!,91739
45,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Shauna W.,"Dallas, TX",1/12/2020,4,"Came here for the 1st time with some family and I was super excited to try it . There was some things I liked, like the waiter mostly , he made the lunch worth it . The food is unimpressive to be honest but I give them an extra star for having a gluten free menu and for the wonderful waiter . If it wasn't for those 2 things I probably would have given 3 stars . Am I the only one who hates the table set up in the middle ? I mean it was busy on a Sunday for lunch but I feel like my back was against someone else's back next to us. Super claustrophobic and uncomfortable. I won't be back , and that sucks because I really wanted to love it .",91739
46,"7870 Monticello Ave Rancho Cucamonga, CA 91739",John-Michael G.,"South Arroyo, Pasadena, CA",8/31/2020,5,"These 5 Stars are for our waiter CARLO and the manager KELLEY!!Came in at 4 pm, had a great meal, outstanding cleanliness and courtesy.Thank you guys for making our dining experience awesome.5 Stars CARLO5 Stars KELLEY",91739
47,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Francesco G.,"CA, CA",6/3/2021,3,"Had a bitter sweet time at P.f. Chang's, first i would like to start off when I arrived inside the restaurant I was greeted immediately by a hostess Maddie I believe. Then i was sat in a span to 20-30 min which was perfect. Although my waiter did take a while to bring me my refreshments, ( I mean comon how long does a dirty martini take to make LOL) all okay tho as I was still being served my food fast. I got my pork dumplings pan fried , they were impeccable. But I can't say the same for the chang's chicken, already having too much sauce and garnish on it , I can just taste the reused soy sauce that they used to whip it up I can not say i'm a fan of one of there signature dishes. The fried rice tasted like it was from panda express to be honest and that's not too much of a down side. But to top things off my noodles where amazing just enough soy sauce to make me happy. I finished my evening off with a super sized pice of there chocolate cake it was amazing with each individual layer. I can't say that I would come back for that chang's chicken, but with the hospitality that I received here I think I'll give it another shot.",91739
48,"7870 Monticello Ave Rancho Cucamonga, CA 91739",judy c.,"West Covina, CA",5/10/2020,1,"If I could give a negative 5 stars I would, I had a doordash driver keeping me posted since they arrived at 3pm and at 630 as he said he was still waiting I had no choice but 2 cancel. You had managers crying and losing it, like really, why would u accept orders you couldn't fullfill! Greed is what motivated you and now with all the cancellations u have food you will have to throw away and my Mothers day is now ruined. Very disappointed and wish I would have gone to a small mom and pops.",91739
49,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Sung W.,"Claremont, CA",1/6/2019,5,"I have not been in P.F. Chang's for many years. I had to come here to check out our because it's only 5 minutes from my house. I made a reservation ahead of time to make sure we don't wait too long. As soon as we arrived we where seated in 2 minutes. The front desk ladies where very nice to us and feel welcomed. After getting seated our waiter Christian came to take our drink orders immediately. He was very professional and patient with us. We ordered Signature Lo Mein, Buddha's feast, Thai Harvest Curry, Crispy honey chicken and Banana spring roll dessert. They give you white or brown rice complimentary such was good. Everything was delicious and we finished everything. Our waiter Christian was really attentive to us therefore making the experience better. Great job!!The restaurant was very elegant and clean when I checked it out.Restaurant has a very nice painting in the middle that made you feel you are in China. Parking is busy be a you are in Victoria Gardens on a weekend .  More parking available if you just park a little farther we found space for like 10 -15 cars.I definitely recommend this restaurant to anyone whom has not been here before.",91739
50,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Catherine M.,"Glendale, CA",5/29/2021,1,"Pick another place if you're thinking about catering or online ordering, especially if you're POC. I order catering frequently from other restaurants at VG (including PF Chang's) and was never asked to wait no more than 20-30 mins. I get it, places get busy. Today I was asked to wait 1 hour and 30 minutes after my pick up time by the hostess. It wasn't until another hostess clocked in (by this time my fourth attempt at getting my food) and I asked for her help, that things started moving. The other people that walked in and ordered at the front table, while I was waiting, got their orders before I did (all of course were your token Rancho citizen). If you must order from here, do car pick up, that way they don't discriminate. A joke.",91739
51,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Cristian P.,"Redlands, CA",2/16/2021,5,Ordered Ramen for pickup because all the other ramen places near me were out of it. I was actually surprised how good it was. Got the spicy tonkotsu ramen with egg and it tasted delicious! Would recommend. Didn't mind the 25 min drive for it!,91739
52,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Lin L.,"Newport Beach, CA",11/28/2018,5,"Came here a few weeks ago and was lucky to have Christian as our waiter. It was near closing time but service was friendly and we did not feel rushed. Food was on par as usual. Fyi: they're having their winter $100 get $20bonus card again. So if you frequent here, stock up on GC for the next year!",91739
53,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Abby R.,"Phoenix, AZ",2/27/2021,1,"I wouldn't recommend this location during pandemic. The wait times are ridiculous and not even accurate. My party and I waited an additional half an hour because they didn't regulate the 90 minute max at the table we were having and then wouldn't bus the table for an additional 10-15 minutes. I don't understand what's going on with this location, but they need to get it together.",91739
54,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Farbod F.,"Rancho Cucamonga, CA",11/19/2018,5,"Can't go wrong with this place!! Great that they take reservations, makes coming here on busy nights a lot easier... place is well decorated, staff are welcoming, food is authentic but obviously Americanized. Still; options are plenty, and the food is flavorful. Portions are on the smaller size, I had to get 2 main dishes, and one appy... Fortunately, prices and reasonable... healthy options also available. Cool ambiance, for all occations. Nothing bad to say, will be back",91739
56,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Adnan K.,"Rancho Cucamonga, CA",9/25/2019,4,"P.F. Chang's is a Chinese restaurant at Victoria Gardens in Rancho Cucamonga. We came here on May 11, 2018, to eat dinner. It's a nice and well-decorated Chinese restaurant. The place was crowded when we got there. We ordered CRISPY HONEY CHICKEN, BEEF Á LA SICHUAN, FRIED RICE, and VIETNAMESE CHOCOLATE LAVA CAKE. The food was so good and delicious but the amount was not good enough. The staff was courteous and helpful. In terms of price, this place is expensive.",91739
57,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Frank G.,"Rancho Cucamonga, CA",2/24/2019,4,We had stopped going to PF Chang's because the lack of quality in the food. We took about a year hiatus due to the  bland taste and the lack of quality in the food. We have gone back three times in the last 6 months. The food and quality taste different now. Very fresh tasting and the quality of the ingredients are very noticeable. All our dishes were fresh and tasted very good. The only complaint was that the beef in the Beef A La Sichuan was mostly vegetables. Besides that we will return for the tasty fresh food.,91739
58,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Whitney W.,"El Monte, CA",10/3/2018,4,"Came here on Wed 6:30pm and there was a line. We waited for about 15 min. Between my husband and me, we shared 1 bowl hot and sour soup: 2 star, Not enough ingredients, soup is tooo sour Chinese bbq ribs: 6 big pieces of ribs, very fulfilling , 3 star 8oz filet mignon with cherry tomato and potato, 5 star, I really liked it. However my husband think it's strange to taste tomato in a beef dish Chili sauce asparagus: 5 star, best dish of the night, we both liked it a lot! Check came up at $53, very fair Nothing outstanding for this place but I really enjoyed it.",91739
59,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Adam N.,"Fontana, CA",1/3/2019,5,"Decent place if you are feeling like eating Asian food!Yes, PF Chang's is a pretty popular food chain restaurant, but - it's really not bad! I made a reservation online via OpenTable, and upon my arrival, was seated within a few minutes. So PRO TIP, make a reservation in advance on OpenTable. It takes a few minutes and you'll save yourself the hour wait times.The service was extremely prompt from start to finish, and all of the waiters here are very friendly, attentive and caring.Ordered quite a bit here the other night - chicken lettuce wraps, white rice, lo-mein noodles, asian ceasar salad, edamame, kung pao chicken, honey shrimp, hot & sour soup, & wonton soup, as well as a few drinks.Everything was absolutely delicious with the exception of the Hot & Sour soup which tasted plain, and not what I would expect from a Hot & Sour Soup. The waiter also agreed was not one of their best-tasting soups. That said if you are looking for a soup from here I would recommend trying out the Wonton Soup.",91739
60,"7870 Monticello Ave Rancho Cucamonga, CA 91739",Ben R.,"Southern California, CA",10/29/2019,4,"Tuesday, Oct 29, 2019 (12:15 pm).Lunch here today while waiting for my scheduled appointment at the Apple Store.Good food, great service today. All good. Ordered what I always order at the PF Chang's closer to me (Chino Hills). I am a regular there. Food tasted better here at this Rancho Cucamonga PF Chang's location though. Hmmm... wonder what's up with that! Maybe the head chef is a little more experienced.I'm not one to usually patronize corporate restaurants, but I do like PF Chang's. They do seem to know what they are doing in the kitchen most of the time.My photos below.",91739
